Name,Price,Discount,image Link
Bokomo Weet-Bix Family Pack 900g,R69.99,49.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hf7/hf0/10904407572510/silo-product-image-v2-19Jul2022-180126-6001052001049-Straight_on-49933-7991_300Wx300H
Lancewood Gouda Cheese 600g,R129.99,89.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hd4/h0c/11042310357022/silo-product-image-v2-07Dec2022-180131-6009617222793-Straight_on-80148-3469_300Wx300H
Mama's Steak & Kidney Pies 6 Pies,R114.49,79.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h06/h2c/10770690506782/silo-product-image-v2-15Mar2022-180150-6001441000486-Straight_on-10282-17842_300Wx300H
Windhoek Draught NRB 440ml x 24,R399.99,319,https://cdn-prd-02.pnp.co.za/sys-master/images/hea/h31/10991203352606/silo-product-image-v2-22Oct2022-180100-6001760005414-Straight_on-67091-2529_300Wx300H
Ballantine's Scotch Whisky 750ml,R299.99,224.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h91/h53/11123919814686/silo-product-image-v2-16Mar2023-183327-5010106111451-Straight_on-87621-7205_300Wx300H
Pongracz Brut Mcc 750ml,R190.00,160,https://cdn-prd-02.pnp.co.za/sys-master/images/h67/h24/10989521076254/silo-product-image-v2-21Oct2022-180243-6001497114502-Straight_on-66477-1422_300Wx300H
"Colgate Total 12 Pro Gum Health, Multibenefit Toothpaste 75ml",R54.99,42.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hb3/ha4/10999628070942/silo-product-image-v2-01Nov2022-180114-6920354819681-Straight_on-68508-54_300Wx300H
Kellogg's Corn Flakes 750g,R73.99,49.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hd7/hbb/11012537155614/silo-product-image-v2-12Nov2022-180123-6001306001009-Straight_on-72255-7482_300Wx300H
Lancewood Gouda Cheese 600g,R129.99,89.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hd4/h0c/11042310357022/silo-product-image-v2-07Dec2022-180131-6009617222793-Straight_on-80148-3469_300Wx300H
Huggies Dry Comfort Size 5 Jumbo Pack 56 Nappies,R249.99,185,https://cdn-prd-02.pnp.co.za/sys-master/images/h94/h06/10884273242142/silo-product-image-v2-24Jun2022-180102-6001019907643-Straight_on-46447-2037_300Wx300H
Ballantine's Scotch Whisky 750ml,R299.99,224.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h91/h53/11123919814686/silo-product-image-v2-16Mar2023-183327-5010106111451-Straight_on-87621-7205_300Wx300H
Russian Bear Vodka 750ml,R164.99,139.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h62/hb0/10989580714014/silo-product-image-v2-21Oct2022-180250-6001466000140-Straight_on-66926-1560_300Wx300H
Hth Granular Mineral Soft 8kg,R439.99,399.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hf5/h26/10989791150110/silo-product-image-v2-21Oct2022-180308-6001385000603-Straight_on-65226-2015_300Wx300H
4Th Street Natural Sweet Rose 5l,R175.00,140,https://cdn-prd-02.pnp.co.za/sys-master/images/h5d/hf4/10989069434910/silo-product-image-v2-21Oct2022-180147-6001108059208-Straight_on-65698-452_300Wx300H
AIM Fan Heater,R349.99,229.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h14/h0f/10989012877342/silo-product-image-v2-21Oct2022-180144-6005587006111-Straight_on-64778-345_300Wx300H
ALVA Single Burner Canister Stove,R459.99,379.99,https://cdn-prd-02.pnp.co.za/sys-master/images/h38/h51/10951194116126/silo-product-image-v2-14Sep2022-180127-6003339006747-Straight_on-56793-323_300Wx300H
Jik Perfumed All Purpose Bleach 1.5l,R46.99,32.99,https://cdn-prd-02.pnp.co.za/sys-master/images/hcc/hc6/10772451098654/silo-product-image-v2-15Mar2022-180455-6001106107321-Straight_on-12040-21454_300Wx300H
